Date,Power_kW,temp_C,HR,solarRad_W/m2,Power-1,Hour,HDH
2017-01-01 01:00:00,42.7519285,7.930000000000001,76.30833333333334,1.4773333333333334,42.99643,1,0.0
2017-01-01 02:00:00,42.861834,7.263416666666668,80.275,1.4150833333333335,42.7519285,2,0.0
2017-01-01 03:00:00,42.317769,6.831333333333333,81.33333333333333,1.542,42.861834,3,0.0
2017-01-01 04:00:00,42.653385,6.500250000000001,81.24166666666666,0.891,42.317769,4,0.0
2017-01-01 05:00:00,42.4377255,6.0064166666666665,81.00833333333334,1.3758333333333332,42.653385,5,0.0
2017-01-01 06:00:00,42.307281,5.645833333333333,80.44166666666668,0.988,42.4377255,6,0.0
2017-01-01 07:00:00,46.7447975,5.4777499999999995,80.19166666666666,1.4661666666666668,42.307281,7,0.0
2017-01-01 08:00:00,46.521709,5.4102500000000004,80.35833333333333,29.54975,46.7447975,8,0.0
2017-01-01 09:00:00,46.554047,5.4805833333333345,80.09166666666665,76.49416666666666,46.521709,9,0.0
2017-01-01 10:00:00,46.689516999999995,6.016833333333334,78.79166666666667,192.80833333333337,46.554047,10,0.0
2017-01-01 11:00:00,46.7360575,6.882416666666667,76.29166666666667,237.49166666666667,46.689516999999995,11,0.0
2017-01-01 12:00:00,46.97313,7.56,75.31666666666666,267.5,46.7360575,12,0.0
2017-01-01 13:00:00,47.654413,8.729999999999999,72.74916666666668,203.54999999999998,46.97313,13,0.0
2017-01-01 14:00:00,47.892578,9.809166666666668,70.03083333333332,146.23333333333332,47.654413,14,0.0
2017-01-01 15:00:00,47.786387,9.735833333333334,71.41083333333333,124.28333333333335,47.892578,15,0.0
2017-01-01 16:00:00,48.0199635,9.525833333333335,73.75833333333334,56.92416666666668,47.786387,16,0.0
2017-01-01 17:00:00,48.2716755,8.9725,76.35833333333333,5.232166666666666,48.0199635,17,0.0
2017-01-01 18:00:00,48.695784,8.865,76.30833333333334,1.5073333333333332,48.2716755,18,0.0
